id, name, abbrev, administrative_key, zipcode, url, country_id, institution_id, fax, phone, city_id, institutiontitle_id, institutiontype_id, other, state_id, addr
181, Universiteti Teknologjik 'Ismail Qemal Vlora', 8, 1, 1
182, Zoja e Këshillit të Mirë, 8, 1, 1
183, AKAD Fachhochschule Leipzig, 276, 1, 1
184, AKAD Fachhochschule Pinneberg, 276, 1, 1
185, Akademie der Bildenden Künste in Nürnberg, 276, 1, 1
186, Albert-Ludwigs-Universität Freiburg im Breisgau, 276, 1, 1
187, Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin, 276, 1, 1
188, Augustana-Hochschule Neuendettelsau, 276, 1, 1
189, Bauhaus-Universität Weimar, 276, 1, 1
190, Bayerische Julius-Maximiliaus-Universität Würzburg, 276, 1, 1
191, Bergische Universität Wuppertal, 276, 1, 1
192, Brandenburgische Technische Universität Cottbus, 276, 1, 1
193, Burg Giebichenstein - Hochschule für Kunst und Design Halle, 276, 1, 1
194, Business and Information Technology School Iserlohn, 276, 1, 1
195, Carl von Ossietzky Universität Oldenburg, 276, 1, 1
196, Christian-Albrechts-Universität zu Kiel, 276, 1, 1
197, Deutsche Hochschule für Verwaltungswissenschaften, 276, 1, 1
198, Deutsche Sporthochschule Köln, 276, 1, 1
199, Deutsche Telekom Fachhochschule Leipzig, 276, 1, 1
200, Eberhard-Karls-Universität Tübingen, 276, 1, 1
201, Ernst-Moritz-Arndt-Universität Greifswald, 276, 1, 1
202, Europa-Universität Viadrina Frankfurt (Oder), 276, 1, 1
203, Europäische Fernhochschule Hamburg, 276, 1, 1
204, Europäische Wirtschaftshochschule Berlin, 276, 1, 1
205, European Business School Oestrich-Winkel, 276, 1, 1
206, Evangelische Fachhochschule Berlin - Fachhochschule für Sozialarbeit und Sozialpädagogik, 276, 1, 1
207, Evangelische Fachhochschule Darmstadt, 276, 1, 1
208, Evangelische Fachhochschule Freiburg, 276, 1, 1
209, Evangelische Fachhochschule für Sozialpädagogik - Diakonenanstalt des Rauhen Hauses Hamburg, 276, 1, 1
210, Evangelische Fachhochschule Hannover, 276, 1, 1
211, Evangelische Fachhochschule Ludwigshafen, 276, 1, 1
212, Evangelische Fachhochschule Nürnberg, 276, 1, 1
213, Evangelische Hochschule für Sozialarbeit Dresden, 276, 1, 1
214, Fachhochschule Aachen, 276, 1, 1
215, Fachhochschule Aalen, 276, 1, 1
216, Fachhochschule Albstadt-Sigmaringen - Hochschule für Technik und Wirtschaft, 276, 1, 1
217, Fachhochschule Aschaffenburg, 276, 1, 1
218, Fachhochschule Augsburg, 276, 1, 1
219, Fachhochschule Biberach, 276, 1, 1
220, Fachhochschule Bielefeld, 276, 1, 1
221, Fachhochschule Bochum, 276, 1, 1
222, Fachhochschule Bonn-Rhein-Sieg, 276, 1, 1
223, Fachhochschule Brandenburg, 276, 1, 1
224, Fachhochschule Braunschweig-Wolfenbüttel, 276, 1, 1
225, Fachhochschule Coburg, 276, 1, 1
226, Fachhochschule Darmstadt, 276, 1, 1
227, Fachhochschule Deggendorf, 276, 1, 1
228, Fachhochschule des Mittelstandes Bielefeld, 276, 1, 1
229, Fachhochschule Dortmund, 276, 1, 1
230, Fachhochschule Düsseldorf, 276, 1, 1
231, Fachhochschule Eberswalde, 276, 1, 1
232, Fachhochschule Erfurt, 276, 1, 1
233, Fachhochschule Esslingen - Hochschule für Sozialwesen Esslingen, 276, 1, 1
234, Fachhochschule Esslingen - Hochschule für Technik, 276, 1, 1
235, Fachhochschule Flensburg, 276, 1, 1
236, Fachhochschule Frankfurt am Main, 276, 1, 1
237, Fachhochschule Fulda, 276, 1, 1
238, Fachhochschule für die Wirtschaft Paderborn, 276, 1, 1
239, Fachhochschule für Gestaltung Schwäbisch Gmünd, 276, 1, 1
240, Fachhochschule für Oekonomie und Management Essen, 276, 1, 1
241, Fachhochschule für Technik und Wirtschaft Berlin, 276, 1, 1
242, Fachhochschule für Verwaltung und Rechtspflege Berlin, 276, 1, 1
243, Fachhochschule für Wirtschaft Berlin, 276, 1, 1
244, Fachhochschule Furtwangen - Hochschule für Technik und Wirtschaft, 276, 1, 1
245, Fachhochschule Gelsenkirchen, 276, 1, 1
246, Fachhochschule Giessen-Friedberg, 276, 1, 1
247, Fachhochschule Hannover, 276, 1, 1
248, Fachhochschule Heidelberg, 276, 1, 1
249, Fachhochschule Hildesheim/Holzminden/Göttingen, 276, 1, 1
250, Fachhochschule Hof, 276, 1, 1
251, Fachhochschule im DKR Göttingen, 276, 1, 1
252, Fachhochschule Ingolstadt, 276, 1, 1
253, Fachhochschule Jena, 276, 1, 1
254, Fachhochschule Kaiserslautern, 276, 1, 1
255, Fachhochschule Kempten - Hochschule für Technik und Wirtschaft, 276, 1, 1
256, Fachhochschule Kiel, 276, 1, 1
257, Fachhochschule Koblenz, 276, 1, 1
258, Fachhochschule Köln, 276, 1, 1
259, "Fachhochschule Konstanz - Hochschule für Technik, Wirtschaft und Gestaltung", 276, 1, 1
260, Fachhochschule Landshut, 276, 1, 1
261, Fachhochschule Lausitz, 276, 1, 1
262, Fachhochschule Lippe und Höxter, 276, 1, 1
263, Fachhochschule Lübeck, 276, 1, 1
264, Fachhochschule Ludwigshafen, 276, 1, 1
265, Fachhochschule Mainz, 276, 1, 1
266, Fachhochschule Mannheim - Hochschule für Technik und Gestaltung, 276, 1, 1
267, Fachhochschule München, 276, 1, 1
268, Fachhochschule Münster, 276, 1, 1
269, Fachhochschule Neu-Ulm, 276, 1, 1
270, Fachhochschule Neubrandenburg, 276, 1, 1
271, Fachhochschule Nordakademie Elmshorn, 276, 1, 1
272, Fachhochschule Nordhausen, 276, 1, 1
273, "Fachhochschule Offenburg - Hochschule für Technik, Wirtschaft und Medien", 276, 1, 1
274, Fachhochschule Oldenburg/Ostfriesland/Wilhelmshaven, 276, 1, 1
